Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2014,44.98730432
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2015,45.10987696
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2016,46.05123507
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2017,46.06472322
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2018,42.69723287
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2019,46.17272321
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",ET,ET,2020,42.85352278
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1990,180078.8789
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1991,168595.218
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1992,154858.2744
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1993,141730.5124
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1994,144393.8217
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1995,133061.5291
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1996,132760.1447
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1997,139889.2037
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1998,137980.1155
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1999,140336.5767
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2000,154903.3368
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2001,158808.6401
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2002,155199.4231
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,2003,150816.3362
