Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1993,70578.35627
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1994,76654.05516
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1995,74666.91656
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1996,76440.26596
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1997,80451.64668
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1998,71463.81186
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1999,71519.66333
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2000,71956.47668
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2001,71839.17956
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2002,72596.84994
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2003,82793.11217
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2004,74996.99442
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2005,78534.04242
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2006,82413.04886
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2007,87300.20172
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2008,85067.61907
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2009,89189.90989
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2010,84663.08861
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2011,74231.63302
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2012,76414.12473
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2013,80765.93513
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2014,81925.26921
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2015,83380.40995
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2016,88291.76813
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2017,85223.37754
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2018,87097.50486
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2019,91216.66773
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,2020,82115.84182
